Балкон или лоджия;Мебель;Адрес;Жилая площадь;Количество комнат;Ремонт;Интернет и ТВ;Цена;Техника;Общая площадь;Площадь кухни;Санузел;Этаж;Оплата по счётчикам;Тип комнат
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Тельмана, 15; 110 м²; 4; евро; Wi-Fi, телевидение;70 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 170 м²; 30 м²; раздельный; 3 из 4;; изолированные
 балкон, лоджия; кухня, спальные места;Республика Татарстан, Казань, ул. Бондаренко, 22; 42 м²; 3; косметический; телевидение;22 000; холодильник, плита, стиральная машина, телевизор; 60 м²; 10 м²; раздельный; 5 из 10;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Алексея Козина, 5;; 1; дизайнерский; Wi-Fi, телевидение;35 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 45 м²; 10 м²; совмещенный; 15 из 16;;
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 79;; 1; косметический;;19 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 40 м²; 20 м²; совмещенный; 5 из 10;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Даурская ул., 34Б; 20 м²; 1; евро; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 46 м²; 14 м²; совмещенный; 6 из 25;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Маршала Чуйкова, 49;; 2; евро; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, стиральная машина, телевизор; 52 м²; 10 м²; раздельный; 5 из 9;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Серова, 41; 26 м²; 1; евро; Wi-Fi, телевидение;23 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 40 м²; 6 м²; совмещенный; 7 из 10;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, улица Николая Ершова, 66В; 20 м²; 1; евро; Wi-Fi, телевидение;28 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 37 м²; 10 м²; совмещенный; 3 из 10;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Бойничная ул., 8; 35 м²; 2; косметический;;20 000; холодильник, плита, стиральная машина; 50 м²; 7 м²; совмещенный; 4 из 9;; смежные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 79;; 2; евро; Wi-Fi, телевидение;40 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 78 м²; 17 м²; совмещенный; 2 из 9;; изолированные
;;Республика Татарстан, Казань, ул. Сибгата Хакима, 60; 90 м²; 3; евро;;55 000;; 112 м²; 22 м²;; 4 из 22;; изолированные
;;Республика Татарстан, Казань, ул. Гарифа Ахунова, 14;; 3; евро;;40 000;; 92 м²; 14 м²;; 4 из 10;;
;;Республика Татарстан, Казань, Щербаковский пер., 7; 37 м²; 2; дизайнерский; Wi-Fi, телевидение;55 000; холодильник, плита, микроволновка, стиральная машина, фен, утюг; 52 м²; 8 м²;; 25 из 25;; смежные
 балкон;;Республика Татарстан, Казань, ул. Аделя Кутуя, 44А;; 1; евро; Wi-Fi, телевидение;23 000; холодильник, плита, микроволновка, стиральная машина, утюг; 45 м²; 12 м²;; 8 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Лукина, 50; 22 м²; 1; косметический; Wi-Fi, телевидение;17 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 49 м²; 15 м²; совмещенный; 8 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Мусина, 7;; 1; евро; Wi-Fi, телевидение;22 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 37 м²; 8 м²;; 4 из 16;;
;;Республика Татарстан, Казань, Чистопольская ул., 61Д; 22 м²; 1; евро;;45 000;; 49 м²; 16 м²;; 10 из 25;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Марселя Салимжанова, 23; 38 м²; 2; евро; Wi-Fi, телевидение;40 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 60 м²; 12 м²; раздельный; 9 из 10;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Приволжский район, жилой комплекс Лесной Городок, Берёзовая ул., 8; 50 м²; 3; евро; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 80 м²; 20 м²; совмещенный; 5 из 6;; изолированные
;;Республика Татарстан, Казань, Даурская ул., 34Б; 36 м²; 2; евро;;32 999; холодильник, стиральная машина; 52 м²; 8 м²;; 10 из 25;; изолированные, смежные
 лоджия;;Республика Татарстан, Казань, Краснококшайская ул., 84Бк2; 35 м²; 2; евро;;30 000;; 54 м²; 10 м²; раздельный; 3 из 17;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Тельмана, 5; 37 м²; 2; дизайнерский; Wi-Fi, телевидение;60 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор; 70 м²; 12 м²; раздельный; 1 из 5;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Халева, 13;; 1; евро; Wi-Fi, телевидение;20 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 33 м²; 6 м²; совмещенный; 1 из 5;;
 балкон, лоджия; кухня, спальные места;Республика Татарстан, Казань, ул. Наиля Юсупова, 9;; 3; косметический; Wi-Fi, телевидение;21 000; холодильник, плита, стиральная машина, телевизор; 80 м²; 14 м²; раздельный; 17 из 19; включена в плату; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Рихарда Зорге, 34; 20 м²; 1; евро; Wi-Fi, телевидение;23 000; кондиционер, холодильник, плита, стиральная машина, телевизор; 48.9 м²; 12 м²; совмещенный; 3 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Аметьевская Магистраль, 18к5; 40 м²; 2; дизайнерский; Wi-Fi, телевидение;50 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 60 м²; 10 м²; совмещенный; 9 из 25;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, улица Пушкина, 3; 24 м²; 2; дизайнерский; Wi-Fi, телевидение;35 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 50 м²; 8 м²; раздельный; 2 из 6;; изолированные
;;Республика Татарстан, Казань, ул. Разведчика Ахмерова, 7;; 2; дизайнерский; Wi-Fi, телевидение;35 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 65 м²; 10 м²;; 10 из 10;; изолированные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Зур Урам, 1Кк5;; 2; евро; Wi-Fi, телевидение;25 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 70 м²; 8 м²; раздельный; 4 из 18;; изолированные
 лоджия;;Республика Татарстан, Казань, ул. Восход, 16;; 2; дизайнерский;;25 000;; 65 м²; 10 м²;; 5 из 11;; изолированные, смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Восход, 2А;; 1; косметический; Wi-Fi, телевидение;18 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 39 м²; 8 м²; совмещенный; 3 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Академика Завойского, 17; 22 м²; 1; косметический;;16 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 45 м²; 13 м²; совмещенный; 2 из 10;;
;;Республика Татарстан, Казань, ул. Павлюхина, 110Г; 34 м²; 1; дизайнерский;;31 999; холодильник, стиральная машина; 42 м²; 8 м²;; 13 из 20;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Альберта Камалеева, 34Б; 27 м²; 2; евро; Wi-Fi, телевидение;40 000; холодильник, плита, стиральная машина, водонагреватель; 59.9 м²; 10 м²; раздельный; 15 из 18;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Николая Ершова, 62Г; 28 м²; 2; евро; Wi-Fi, телевидение;35 500; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 50.2 м²; 11 м²; раздельный; 9 из 10;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Сибгата Хакима, 33;; 1; евро; Wi-Fi, телевидение;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 42 м²; 15 м²;; 6 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 25; 18 м²; 1; евро;;21 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 34 м²; 7 м²; совмещенный; 8 из 16;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Альберта Камалеева, 1;; 3; дизайнерский; Wi-Fi, телевидение;75 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор; 128 м²; 15 м²; совмещенный, раздельный; 14 из 37;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Альберта Камалеева, 16; 25 м²; 1; евро; Wi-Fi, телевидение;26 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 43 м²; 8 м²; совмещенный; 11 из 16;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Вахитовский район, ул. Татарстан, 66; 20 м²; 1; евро; Wi-Fi, телевидение;26 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 35 м²; 7 м²; совмещенный; 3 из 5;;
;;Республика Татарстан, Казань, Чистопольская ул., 60; 35 м²; 1; косметический;;28 999; холодильник, стиральная машина; 51 м²; 10 м²;; 6 из 10;;
;;Республика Татарстан, Казань, Широкая ул., 2; 30 м²; 2; евро; Wi-Fi, телевизор;30 000; холодильник, стиральная машина; 66 м²; 16 м²; раздельный; 9 из 9;; изолированные
;;Республика Татарстан, Казань, пр-т Ильгама Шакирова, 9; 50 м²; 3; косметический;;20 000;; 82 м²; 10 м²;; 8 из 19;; изолированные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Маршала Чуйкова, 62; 20 м²; 1; косметический;;22 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 45 м²; 18 м²; совмещенный; 6 из 18;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Шуртыгина, 32/22; 32 м²; 1; дизайнерский;;30 000; кондиционер, холодильник, плита, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 55 м²; 23 м²; раздельный; 4 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Тэцевская ул., 4Б;; 1; евро;;20 000; холодильник, плита; 34 м²; 8 м²; совмещенный; 10 из 12;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Достоевского, 57;; 2; дизайнерский; Wi-Fi, телевидение;50 000; кондиционер, холодильник, плита, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 51 м²; 8 м²;; 3 из 17;; смежные
;;Республика Татарстан, Казань, ул. Азата Аббасова, 10; 48 м²; студия; дизайнерский;;49 999; холодильник, стиральная машина; 85 м²;;; 10 из 19;;
;;Республика Татарстан, Казань, Вахитовский район, ул. Татарстан, 11; 20 м²; 1; косметический;;20 000;; 38 м²; 9 м²; совмещенный; 11 из 14;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Тансык, 7;; 1; евро; Wi-Fi, телевидение;14 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 40 м²; 10 м²;; 7 из 18;;
 лоджия; кухня;Республика Татарстан, Пестречинский р-н, Шигалеевское сельское поселение, с. Новое Шигалеево, ул. Фёдора Шаляпина, 10;; 1; евро; Wi-Fi, телевидение;14 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 30 м²; 10 м²; совмещенный; 2 из 3;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, улица Баки Урманче, 1; 20 м²; 1; евро; Wi-Fi, телевидение;23 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 38 м²; 10 м²; совмещенный; 11 из 19;;
;;Республика Татарстан, Казань, ул. Зинина, 34; 55 м²; 2; косметический;;36 999; холодильник, стиральная машина; 80 м²; 15 м²;; 4 из 9;; изолированные
;;Республика Татарстан, Казань, Чистопольская ул., 36; 68 м²; 3; косметический;;59 999; холодильник, стиральная машина; 105 м²; 22 м²;; 10 из 16;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Карима Тинчурина, 15А;; 3; косметический;;27 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 60 м²; 6 м²; совмещенный; 3 из 5;; смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Мусина, 70;; 1; косметический; Wi-Fi, телевидение;23 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 35 м²; 10 м²; совмещенный; 2 из 9;;
;;Республика Татарстан, Казань, Чистопольская ул., 61Д;; 2; евро; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 55 м²; 15 м²;; 18 из 25;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Мусина, 59Бк1; 27 м²; 2; евро; Wi-Fi, телевидение;25 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 40 м²; 5 м²; раздельный; 6 из 12;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Сибгата Хакима, 5А;; 2; дизайнерский; Wi-Fi, телевидение;48 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор; 70 м²; 10 м²; раздельный; 6 из 6;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, улица Кул Гали, 7; 39 м²; 2; косметический;;21 000; холодильник, плита, стиральная машина; 51 м²; 10 м²; раздельный; 9 из 9;; изолированные
;;Республика Татарстан, Казань, ул. Сибгата Хакима, 35;; 1; евро;;35 000;; 45 м²; 10 м²;; 6 из 9;;
 балкон, лоджия;;Республика Татарстан, Казань, ул. Марселя Салимжанова, 15/8В; 52 м²; 3; евро;;30 000; кондиционер, холодильник, плита; 102 м²; 25 м²; совмещенный; 5 из 6; включена в плату; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Наиля Юсупова, 6;; 1; косметический;;13 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 43 м²; 12 м²; совмещенный; 13 из 18;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Азата Аббасова, 9; 25 м²; студия; евро; Wi-Fi, телевидение;17 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 30 м²;; совмещенный; 8 из 10;;
 лоджия; кухня;Республика Татарстан, Пестречинский р-н, Богородское сельское поселение, д. Куюки, 16-й квартал, 2; 10 м²; 1; косметический; телевидение;18 000; телевизор; 40 м²; 18 м²; раздельный; 2 из 3; включена в плату;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Победы, 139к2; 36 м²; 2; евро; телевидение;27 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 63 м²; 11 м²; совмещенный; 8 из 18;; изолированные
;;Республика Татарстан, Казань, ул. Профессора Камая, 10к3;; 2; дизайнерский;;23 000;; 42 м²; 10 м²;; 8 из 19;; изолированные, смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Академика Парина, 16;; 1; косметический; Wi-Fi, телевидение;24 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 36 м²; 12 м²; совмещенный; 8 из 10;;
;;Республика Татарстан, Казань, Чистопольская ул., 82; 20 м²; Своб. планировка; косметический;;24 999; холодильник, стиральная машина; 40 м²;;; 3 из 9;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Щербаковский пер., 7; 20 м²; 1; евро; Wi-Fi, телевидение;40 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор; 55 м²; 20 м²; совмещенный; 15 из 25;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Адоратского, 3;; 2; евро; Wi-Fi, телевидение;30 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 55 м²; 13 м²; совмещенный; 2 из 9;; смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Агрономическая ул., 20; 40 м²; 2; евро; Wi-Fi, телевидение;35 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 60 м²; 10 м²; раздельный; 5 из 9;; изолированные
;;Республика Татарстан, Казань, Товарищеская ул., 34; 33 м²; 1; евро;;35 999; холодильник, стиральная машина; 56 м²; 6 м²;; 2 из 9;;
 лоджия; кухня, спальные места;Республика Татарстан, Казань, Приволжский район, 33-й Военный городок, 4; 25 м²; 2; косметический;;18 000; холодильник, плита, микроволновка, телевизор; 45 м²; 8 м²; раздельный; 4 из 9;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Победы, 139к3; 12 м²; 1; евро; Wi-Fi;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 36 м²; 10 м²; раздельный; 12 из 16;;
;;Республика Татарстан, Казань, ул. Достоевского, 66/17; 20 м²; 1; косметический;;24 999; холодильник, стиральная машина; 37 м²; 10 м²;; 4 из 10;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Волочаевская ул., 6; 45 м²; 2; дизайнерский; Wi-Fi, телевидение;28 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 60 м²; 8 м²; раздельный; 8 из 10;; изолированные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Камская ул., 21; 40 м²; 2; евро; Wi-Fi, телевидение;25 000; холодильник, плита, стиральная машина, телевизор; 70 м²; 15 м²; совмещенный; 2 из 2; включена в плату; изолированные
;;Республика Татарстан, Казань, ул. Павлюхина, 110В;; 1; евро;;35 000;; 45 м²; 6 м²;; 11 из 22;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Николая Ершова, 65Б/3; 32 м²; 2; дизайнерский; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор; 52 м²; 9 м²; совмещенный; 8 из 19;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Авиастроительный район, ул. Чапаева, 21;; 2; косметический;;20 000; холодильник, плита, стиральная машина, телевизор; 54.9 м²; 9 м²; раздельный; 9 из 10;; изолированные
;;Республика Татарстан, Казань, ул. Сибгата Хакима, 37;; 3; евро;;35 000;; 85 м²; 12 м²;; 5 из 9;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Рауиса Гареева, 107; 14 м²; студия; косметический;;20 000; холодильник, плита, микроволновка, стиральная машина; 31 м²;; совмещенный; 8 из 20;;
;;Республика Татарстан, Казань, пр-т Победы, 139к2; 49 м²; 2; дизайнерский;;34 990;; 60 м²; 8 м²;; 11 из 24;; изолированные, смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Юлиуса Фучика, 86; 20 м²; 1; евро; Wi-Fi, телевидение;23 000; кондиционер, холодильник, плита, микроволновка, стиральная машина; 40 м²; 10 м²; совмещенный; 3 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 25;; 3; косметический;;37 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 90 м²; 11 м²; раздельный; 7 из 16;; изолированные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Юлиуса Фучика, 36;; 3; дизайнерский; Wi-Fi, телевидение;37 000; кондиционер, холодильник, плита, микроволновка, водонагреватель, телевизор; 66 м²; 25 м²; совмещенный; 8 из 9;; изолированные, смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Комарова, 4;; 2; косметический; Wi-Fi;24 000; холодильник, плита, микроволновка, стиральная машина; 45 м²; 13 м²; раздельный; 3 из 5;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 86/10;; 3; дизайнерский; Wi-Fi, телевидение;90 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 110 м²; 15 м²; совмещенный, раздельный; 9 из 22;; изолированные, смежные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Декабристов, 87; 45 м²; 3; косметический;;25 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 66 м²; 8 м²; раздельный; 7 из 10;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Аделя Кутуя, 110Дк3;; 2; евро;;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина; 50 м²; 9 м²; совмещенный; 9 из 20;; изолированные
; кухня;Республика Татарстан, Казань, 2-я Ленинградская ул., 4; 27 м²; студия; евро;;27 000; кондиционер, холодильник, плита, микроволновка, стиральная машина; 30 м²;;; 3 из 10;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Разведчика Ахмерова, 9;; 3; дизайнерский; Wi-Fi, телевидение;50 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 90 м²; 15 м²;; 9 из 19;; изолированные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Мидхата Булатова, 5;; 3; евро;;40 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 105 м²; 25 м²; совмещенный; 2 из 5;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Сафиуллина, 16; 19 м²; 1; евро; Wi-Fi, телевидение;19 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 34 м²; 8 м²; совмещенный; 8 из 9;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Адоратского, 4;; 1; евро; Wi-Fi, телевидение;23 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 45 м²; 10 м²;; 5 из 14;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Азата Аббасова, 12; 18 м²; 1; косметический; Wi-Fi, телевидение;23 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 35 м²; 9 м²; совмещенный; 10 из 10;;
;;Республика Татарстан, Казань, ул. Сибгата Хакима, 50; 18 м²; 1; евро;;28 000;; 42 м²; 12 м²;; 9 из 20;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Зилантовская ул., 20; 10 м²; 2; косметический; Wi-Fi, телевидение;15 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 60 м²; 10 м²; раздельный; 13 из 18;; изолированные
;;Республика Татарстан, Казань, пр-т Ямашева, 31;; 1; евро;;25 000;; 40 м²; 8 м²;; 6 из 9;;
 лоджия;;Республика Татарстан, Казань, ул. Достоевского, 57; 30 м²; 1; евро;;35 000;; 50 м²; 18 м²; совмещенный; 12 из 17;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр. Юнуса Ахметзянова, 8; 45 м²; 2; евро; Wi-Fi, телевидение;32 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 60 м²; 10 м²; раздельный; 8 из 20;; изолированные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Симонова, 16;; 1; евро; Wi-Fi, телевидение;16 000; холодильник, плита, микроволновка, стиральная машина; 40 м²; 6 м²; совмещенный; 6 из 6;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Аметьевская Магистраль, 4; 30 м²; 2; евро; телевидение;35 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 55 м²; 13 м²; раздельный; 9 из 10;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Окольная ул., 11;; 1; евро; телевидение;23 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 50 м²; 15 м²; совмещенный; 7 из 10;;
 балкон;;Республика Татарстан, Казань, ул. Хайдара Бигичева, 24/45; 35 м²; 2; косметический; телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 55 м²; 10 м²; раздельный; 7 из 9;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Ноксинский Спуск, 20; 19 м²; 1; косметический; Wi-Fi, телевидение;17 000; холодильник, плита, стиральная машина, телевизор; 39 м²; 10 м²; совмещенный; 2 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Альберта Камалеева, 14;; 1; евро; Wi-Fi, телевидение;28 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 43 м²; 8 м²; совмещенный; 6 из 16; включена в плату;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Краснококшайская ул., 84Бк1; 44 м²; 2; евро; Wi-Fi, телевидение;28 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 70 м²; 13 м²; совмещенный; 4 из 16;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Алексея Козина, 5; 45 м²; 2; евро; Wi-Fi;35 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 60 м²; 11 м²; совмещенный; 10 из 17;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Родины, 33Бк1; 16 м²; 1; косметический; Wi-Fi, телевидение;24 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 34 м²; 9 м²; совмещенный; 3 из 9;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Рауиса Гареева, 105Б; 30 м²; 2; евро; Wi-Fi, телевидение;28 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 52 м²; 13 м²; раздельный; 17 из 24;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Фатыха Амирхана, 22А; 22 м²; 1; косметический; Wi-Fi, телевидение;22 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 30.1 м²; 6.5 м²; совмещенный; 2 из 9;;
;;Республика Татарстан, Казань, ул. Островского, 59; 80 м²; 3; дизайнерский;;99 999; холодильник, стиральная машина; 144 м²; 30 м²;; 2 из 5;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 64; 20 м²; 1; евро; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 38 м²; 8 м²; совмещенный; 3 из 14;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Советский район, микрорайон Азино-1, ул. Закиева, 20к1; 24 м²; 2; евро; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 50 м²; 8 м²; совмещенный; 10 из 12;; изолированные
